City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nurota,UZ,40.5614,65.6886,43.3,44,12,10.51,few clouds
79,Sao Manuel,BR,-22.7311,-48.5706,89.69,32,99,6.62,light rain
80,Bluff,NZ,-46.6,168.3333,46.58,86,47,11.07,scattered clouds
81,Kruisfontein,ZA,-34.0033,24.7314,67.89,69,0,14.2,clear sky
82,Caravelas,BR,-17.7125,-39.2481,85.62,56,63,11.72,broken clouds
83,Jaque,PA,7.5175,-78.1703,78.39,88,98,9.04,moderate rain
84,Margate,GB,51.3813,1.3862,57.9,83,74,4.0,broken clouds
85,Tiksi,RU,71.6872,128.8694,-20.4,100,100,4.12,overcast clouds
86,Ilulissat,GL,69.2167,-51.1,28.42,69,100,0.0,overcast clouds
87,Bani Walid,LY,31.7566,13.9942,71.55,32,15,6.15,few clouds
88,Havoysund,NO,70.9963,24.6622,35.83,77,98,9.75,overcast clouds
89,Barrow,US,71.2906,-156.7887,21.22,79,100,14.97,light snow
90,Pevek,RU,69.7008,170.3133,-14.4,97,37,3.13,scattered clouds
91,Wasilla,US,61.5814,-149.4394,44.15,49,40,11.5,scattered clouds
92,Katherine,AU,-14.4667,132.2667,77.32,94,100,6.91,moderate rain
93,Ciudad Bolivar,VE,8.1222,-63.5497,88.34,57,95,8.52,overcast clouds
94,Kieta,PG,-6.2167,155.6333,78.78,85,65,2.8,light rain
95,Geraldton,AU,-28.7667,114.6,61.21,72,46,17.27,scattered clouds
96,Lamar,US,33.6668,-95.5836,42.37,66,0,9.22,clear sky
97,Yellowknife,CA,62.456,-114.3525,20.44,94,94,5.37,overcast clouds
98,Swan River,CA,52.1058,-101.2676,5.34,93,12,1.72,few clouds
99,Haines Junction,CA,60.7522,-137.5108,18.59,98,86,3.49,overcast clouds
100,Diffa,NE,13.3154,12.6113,86.11,15,11,11.41,few clouds
101,Masallatah,LY,32.6167,14.0,66.88,63,0,8.86,clear sky
102,Pisco,PE,-13.7,-76.2167,65.01,85,99,6.89,overcast clouds
103,Mataura,NZ,-46.1927,168.8643,42.3,98,80,3.78,broken clouds
104,North Bend,US,43.4065,-124.2243,36.91,82,12,4.0,few clouds
105,Hongjiang,CN,27.11,109.9956,57.06,59,97,4.99,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,67.59,51,0,13.4,clear sky
107,Plettenberg Bay,ZA,-34.0527,23.3716,64.02,68,2,5.23,clear sky
108,Henderson,US,36.0397,-114.9819,50.97,41,0,5.75,clear sky
109,Shieli,KZ,44.1667,66.75,39.83,47,36,15.12,scattered clouds
110,Nizhniy Kuranakh,RU,58.8353,125.4869,19.58,84,100,9.82,overcast clouds
111,Kyren,RU,51.6828,102.1408,18.77,81,90,2.55,overcast clouds
112,De-Kastri,RU,51.4667,140.7833,16.48,87,16,3.49,few clouds
113,Alta Floresta,BR,-9.8756,-56.0861,101.97,26,90,1.32,overcast clouds
114,Kenai,US,60.5544,-151.2583,35.15,99,100,5.28,overcast clouds
115,Caconda,AO,-13.7333,15.0667,82.09,20,31,6.44,scattered clouds
116,Cine,TR,37.6117,28.0614,61.83,39,63,1.16,broken clouds
117,Namibe,AO,-15.1961,12.1522,72.27,60,7,14.32,clear sky
118,Memmingen,DE,47.9837,10.1853,41.43,90,100,2.3,overcast clouds
119,Mopipi,BW,-21.1833,24.8833,88.05,32,33,2.86,scattered clouds
