City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Isangel,VU,76.98,few clouds,-19.55,169.2667,Tanna Lodge
322,Harper,LR,81.82,overcast clouds,4.375,-7.7169,Screensaver
325,Kismayo,SO,79.21,scattered clouds,-0.3582,42.5454,Agan-Hotel
326,Coahuayana,MX,82.33,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
328,Cayenne,GF,78.84,mist,4.9333,-52.3333,Hôtel Le Dronmi
331,Karratha,AU,77.79,light rain,-20.7377,116.8463,ibis Styles Karratha
333,Ca Mau,VN,76.64,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
334,Jamame,SO,79.02,light rain,0.0722,42.7506,
345,Sibolga,ID,75.27,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
362,Sawakin,SD,85.15,clear sky,19.1059,37.3321,فندق الدويم
364,Loandjili,CG,79.47,few clouds,-4.7561,11.8578,Résidence ARCHANGE
368,Farafangana,MG,75.09,light rain,-22.8167,47.8333,Miarina
369,Kuantan,MY,79.99,overcast clouds,3.8077,103.326,Hotel Sentral Kuantan
371,Suleja,NG,89.02,overcast clouds,9.1758,7.1808,Capy Motel
373,Sur,OM,79.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
375,Sao Jose Da Coroa Grande,BR,82.4,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
376,Bandarbeyla,SO,79.79,clear sky,9.4942,50.8122,JABIR HOTEL
383,Kavieng,PG,82.72,light rain,-2.5744,150.7967,Nusa Island Retreat
386,Mahibadhoo,MV,80.53,overcast clouds,3.7833,72.9667,Omadhoo Inn
391,Teguise,ES,79.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
393,Bo Phloi,TH,76.64,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
394,Roebourne,AU,76.91,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
401,George Town,MY,81.23,scattered clouds,5.4112,100.3354,Cititel Penang
